epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.257,0.99765,0.45909,1.06257,0.94351,0.92781,0.96885,0.74916,1.01049,0.38753,1.08075,0.00333222,0.00333222,0.00333222
2,908.495,1.04171,0.4898,1.08296,0.89794,0.93651,0.95625,0.72049,1.05522,0.42297,1.10593,0.00659956,0.00659956,0.00659956
3,1349.14,1.11706,0.54621,1.12171,0.89518,0.89602,0.93446,0.68048,1.13107,0.47357,1.15862,0.00980091,0.00980091,0.00980091
4,1803.7,1.18419,0.60057,1.15957,0.87681,0.91209,0.93355,0.67436,1.13322,0.47146,1.15841,0.009703,0.009703,0.009703
5,2296.49,1.1834,0.60106,1.15693,0.88908,0.90869,0.9336,0.67872,1.13113,0.47236,1.15596,0.009604,0.009604,0.009604
6,2762.03,1.17879,0.59505,1.15541,0.87723,0.92176,0.94176,0.68828,1.11951,0.45693,1.1492,0.009505,0.009505,0.009505
7,3221.62,1.1745,0.59096,1.15417,0.88884,0.91009,0.9398,0.69261,1.10697,0.45139,1.14309,0.009406,0.009406,0.009406
8,3695.85,1.17337,0.58888,1.15193,0.89626,0.90598,0.94343,0.69775,1.09834,0.44706,1.13611,0.009307,0.009307,0.009307
9,4140.75,1.16762,0.58371,1.14786,0.89421,0.91942,0.94602,0.70264,1.09308,0.44331,1.13251,0.009208,0.009208,0.009208
10,4589.31,1.16288,0.5814,1.14504,0.89885,0.92997,0.94914,0.70812,1.08423,0.43624,1.12719,0.009109,0.009109,0.009109
11,5028.5,1.16044,0.57833,1.14299,0.90355,0.9261,0.94895,0.70978,1.0792,0.43372,1.12367,0.00901,0.00901,0.00901
12,5509.07,1.15787,0.57609,1.14051,0.92774,0.91357,0.95351,0.71117,1.07448,0.42841,1.11901,0.008911,0.008911,0.008911
13,5948.65,1.15238,0.57187,1.13903,0.92011,0.91674,0.95406,0.71483,1.06792,0.42407,1.11491,0.008812,0.008812,0.008812
14,6386.28,1.15134,0.57217,1.13904,0.91586,0.925,0.95452,0.71745,1.06649,0.42253,1.11375,0.008713,0.008713,0.008713
15,6824.5,1.14847,0.56834,1.13848,0.90926,0.93333,0.95733,0.71939,1.06106,0.41917,1.11208,0.008614,0.008614,0.008614
16,7262.32,1.14741,0.56637,1.13723,0.90639,0.92878,0.95559,0.72028,1.05884,0.41766,1.11109,0.008515,0.008515,0.008515
17,7700.58,1.13974,0.56418,1.13173,0.9019,0.92989,0.9549,0.72138,1.05579,0.41635,1.10829,0.008416,0.008416,0.008416
18,8138.71,1.14028,0.56295,1.13312,0.9275,0.91273,0.95551,0.72204,1.05322,0.41506,1.10706,0.008317,0.008317,0.008317
19,8577.46,1.1398,0.56145,1.13169,0.93165,0.91248,0.95682,0.72489,1.05045,0.41364,1.10598,0.008218,0.008218,0.008218
20,9015.45,1.13652,0.55792,1.13016,0.92928,0.91672,0.95707,0.72626,1.04816,0.41256,1.10442,0.008119,0.008119,0.008119
21,9453.44,1.13345,0.55804,1.12829,0.92509,0.91937,0.95636,0.72662,1.04625,0.41149,1.10331,0.00802,0.00802,0.00802
22,9891.38,1.13012,0.55481,1.12637,0.9218,0.92248,0.95611,0.72572,1.04479,0.41093,1.10241,0.007921,0.007921,0.007921
23,10329.8,1.1302,0.55423,1.12579,0.92173,0.92348,0.95646,0.7267,1.04365,0.40986,1.1015,0.007822,0.007822,0.007822
24,10767.9,1.12857,0.55463,1.12536,0.92374,0.92139,0.95668,0.72709,1.04295,0.40905,1.10077,0.007723,0.007723,0.007723
25,11206.3,1.12446,0.55114,1.12467,0.93231,0.91422,0.95639,0.72711,1.04204,0.40878,1.10013,0.007624,0.007624,0.007624
26,11644.2,1.12321,0.54989,1.12492,0.93026,0.91562,0.95677,0.72728,1.04114,0.40838,1.09977,0.007525,0.007525,0.007525
27,12082.2,1.12064,0.54749,1.12062,0.93042,0.91515,0.95681,0.72734,1.04027,0.40785,1.09908,0.007426,0.007426,0.007426
28,12520,1.11863,0.54597,1.12002,0.93097,0.9147,0.95685,0.72695,1.03947,0.40754,1.09838,0.007327,0.007327,0.007327
29,12958.2,1.11742,0.54568,1.11893,0.93101,0.91609,0.95716,0.72776,1.03884,0.40712,1.09776,0.007228,0.007228,0.007228
30,13396.6,1.11659,0.54414,1.1184,0.93349,0.91399,0.95743,0.7284,1.03758,0.40661,1.09677,0.007129,0.007129,0.007129
31,13834.8,1.11386,0.54256,1.11569,0.9288,0.91681,0.95748,0.72932,1.03686,0.40601,1.09619,0.00703,0.00703,0.00703
32,14273,1.11121,0.54256,1.11553,0.92819,0.91708,0.95805,0.72975,1.03594,0.40551,1.09548,0.006931,0.006931,0.006931
33,14711.2,1.10903,0.53958,1.11362,0.91469,0.92889,0.95816,0.7304,1.03497,0.40452,1.09486,0.006832,0.006832,0.006832
34,15149.2,1.10758,0.53817,1.11351,0.9207,0.92411,0.95841,0.73101,1.03419,0.40386,1.09435,0.006733,0.006733,0.006733
35,15587.3,1.10661,0.53702,1.11341,0.9201,0.92655,0.9585,0.7315,1.03321,0.40308,1.09369,0.006634,0.006634,0.006634
36,16025.7,1.10424,0.53579,1.11191,0.9216,0.92568,0.95917,0.73197,1.03246,0.40238,1.09315,0.006535,0.006535,0.006535
37,16463.7,1.10231,0.5349,1.11124,0.92331,0.9256,0.95956,0.73248,1.03124,0.40127,1.09236,0.006436,0.006436,0.006436
38,16901.7,1.1009,0.53313,1.10955,0.92338,0.92487,0.95992,0.73328,1.03,0.40062,1.09131,0.006337,0.006337,0.006337
39,17339.7,1.10035,0.53328,1.10783,0.9239,0.92535,0.96045,0.73379,1.02868,0.39958,1.09039,0.006238,0.006238,0.006238
40,17777.3,1.09512,0.52935,1.10535,0.92261,0.92634,0.96108,0.73436,1.02734,0.39866,1.08952,0.006139,0.006139,0.006139
41,18215.6,1.09384,0.52825,1.10554,0.92419,0.92574,0.96146,0.73488,1.02618,0.39756,1.0887,0.00604,0.00604,0.00604
42,18709.9,1.09334,0.5292,1.10403,0.92521,0.92652,0.9621,0.73593,1.025,0.3966,1.08781,0.005941,0.005941,0.005941
43,19194,1.08995,0.52606,1.1026,0.92657,0.92759,0.96251,0.73688,1.02358,0.39588,1.08681,0.005842,0.005842,0.005842
44,19646.4,1.08728,0.52481,1.10084,0.92434,0.92915,0.9629,0.73648,1.0227,0.39535,1.08611,0.005743,0.005743,0.005743
45,20106.6,1.08827,0.52529,1.10229,0.9299,0.9264,0.96317,0.73787,1.02149,0.39485,1.08532,0.005644,0.005644,0.005644
46,20547.2,1.08685,0.52291,1.10273,0.92471,0.92892,0.96342,0.73857,1.02037,0.39403,1.0846,0.005545,0.005545,0.005545
47,20989.1,1.08153,0.52256,1.09963,0.92571,0.92859,0.9635,0.73792,1.01901,0.39291,1.08382,0.005446,0.005446,0.005446
48,21438.3,1.08152,0.51959,1.09719,0.92672,0.92799,0.964,0.73881,1.01772,0.3923,1.08293,0.005347,0.005347,0.005347
49,21883.4,1.08096,0.51924,1.09772,0.93092,0.92678,0.96407,0.73981,1.01665,0.39174,1.08223,0.005248,0.005248,0.005248
50,22325.4,1.07633,0.51677,1.09709,0.93124,0.92678,0.96449,0.73999,1.01514,0.3909,1.08135,0.005149,0.005149,0.005149
51,22767.8,1.07546,0.5165,1.09534,0.9261,0.9288,0.96452,0.7401,1.01379,0.39028,1.08058,0.00505,0.00505,0.00505
52,23210.1,1.07348,0.5139,1.09387,0.92294,0.93373,0.96479,0.74109,1.01252,0.38978,1.07978,0.004951,0.004951,0.004951
